scraped_city,facility,operator,street,zip_code,city_in_desc,avg_home_price_usd,avg_electricity_cost_usd_per_kwh,avg_water_cost_usd_monthly
New York,60 Hudson Street (JFK12),Digital Realty,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,32 Avenue of the Americas (JFK13),Digital Realty,32 Avenue of the Americas (6th Ave),10013,New York,1150000.0,0.287,105.6
New York,111 Eight Avenue (JFK10),Digital Realty,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,701 Union Boulevard (EWR15),Digital Realty,701 Union Blvd,07512,Totowa,1122000.0,0.263,82.6
New York,703 Union Boulevard (EWR16),Digital Realty,703 Union Blvd,07512,Totowa,1122000.0,0.263,82.6
New York,Hivelocity - New York 1,Hivelocity,7 Teleport Drive,10311,Staten Island,1051000.0,0.259,89.8
New York,NYI - QTD1,QTD Systems,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,SDC Manhattan,Sabey Data Center Properties LLC,375 Pearl St,10038,New York,1038000.0,0.254,96.1
New York,DataBank LGA1 - Downtown New York City,DataBank,60 Hudson St,10013,New York,1150000.0,0.287,105.6
New York,Opti9 NY1,Opti9 Technology,501 Franklin Ave,11530,Garden City,1024000.0,0.266,105.6
New York,325 Hudson,325 Hudson,325 Hudson,10013,New York,1150000.0,0.287,105.6
New York,TELEHOUSE New York Chelsea,Telehouse America,85 10th Avenue,10011,New York,922000.0,0.27,100.4
New York,1 Ramland,1547 Critical Systems Realty,1 Ramland Rd,10962,Orangeburg,1043000.0,0.254,98.3
New York,TELEHOUSE New York Teleport,Telehouse America,7 Teleport Drive,10311,New York,1051000.0,0.259,89.8
New York,NYI - New York,QTD Systems,100 William Street,10038,New York,1038000.0,0.254,96.1
New York,Hudson InterXchange,Hudson InterXchange,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,365 Data Centers - New York 2,365 Data Centers,325 Hudson St,10013,New York,1150000.0,0.287,105.6
New York,DataBank LGA2 - Downtown New York City,DataBank,111 8th Ave,10011,Manhattan,922000.0,0.27,100.4
New York,Crown Castle New York (NY1),CROWN CASTLE,111 8th Ave,10011,New York City,922000.0,0.27,100.4
New York,Delimiter Commack Data Center,Delimiter Corp,500 Commack Road,NY11725,Commack,1255000.0,0.265,104.3
New York,Cogent Data Center - New York,"Cogent Communications, Inc.",25 Broadway,10004,New York,1044000.0,0.251,90.9
New York,CoreSite Secaucus (NY2),CoreSite,2 Emerson Ln,07094,Secaucus,1276000.0,0.249,99.0
New York,H5 Data Centers New York,H5 Data Centers,325 Hudson St,10013,New York,1150000.0,0.287,105.6
New York,Equinix NY9,Equinix,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,CoreSite New York (NY1),CoreSite,32 Avenue of the Americas,10013,New York,1150000.0,0.287,105.6
New York,DataBank Orangeburg Campus,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,Epsilon Global Hubs - New York,Epsilon,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,Dataverge NY,DataVerge,882 3rd Ave,11232,Brooklyn,1018000.0,0.251,133.4
New York,111 Eight Avenue,Google,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,Speedcast NY,Speedcast International Ltd.,45 Oser Avenue,11788,Hauppauge,1037000.0,0.256,108.4
New York,365 Data Centers - New York 3,365 Data Centers,121 Varick St.,10013,New York,1150000.0,0.287,105.6
New York,Lunavi Orangeburg,Lunavi,1 Ramland Rd,10962,Orangeburg,1043000.0,0.254,98.3
New York,ColoHouse New York,ColoHouse,1 Ramland Road,10962,Orangeburg,1043000.0,0.254,98.3
New York,NewBridge Brooklyn,NewBridge,927 McDonald Ave,11218,Brooklyn,1101000.0,0.254,89.1
New York,DataBank LGA3 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,DataBank LGA4 - Orangeburg,DataBank,2000 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,75 Broad Street,JEMB Realty Inc.,75 Broad Street,10004,New York,1044000.0,0.251,90.9
New York,Evocative JFK2,Evocative Data Centers,480 N Bedford Rd,10514,Chappaqua,968000.0,0.235,88.8
New York,365 Data Centers - New York 1,365 Data Centers,65 Broadway,10006,New York,979000.0,0.249,89.1
New York,Cogent Data Center - Hackensack,"Cogent Communications, Inc.",280 State St,07601,Hackensack,1060000.0,0.251,87.1
New York,Lumen New York 2,Lumen,601 W 26th,10001,New York,1082000.0,0.262,97.1
New York,60 Hudson Street,Colliers International,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,121 Varick St,121 Varick Street Corp.,121 Varick St,10013,New York,1150000.0,0.287,105.6
New York,Sentinel NY-1,Sentinel Datacenters,155 Corporate Dr,10962,Orangeburg,1043000.0,0.254,98.3
New York,Metanet Staten Island,"Metanet, Inc.",7 Teleport Dr,10311,Staten Island,1051000.0,0.259,89.8
New York,Colocation America NYDC3,Colocation America,11 Skyline Dr,10532,Hawthorne,1260000.0,0.266,96.6
New York,365 Data Centers - New York 4,365 Data Centers,32 6th ave,10013,New York,1150000.0,0.287,105.6
New York,CherryRoad NYC3,CherryRoad Technologies,375 Pearl Street,10038,Manhattan,1038000.0,0.254,96.1
New York,Blue Hill Plaza,Blue Hill Data Services,2 Blue Hill Plaza,10965,Pearl River,1280000.0,0.265,98.2
New York,Centersquare - New York EWR3-B,Csquare,365 S Randolphville,08854,Piscataway,1124000.0,0.28,116.6
New York,Metanet Chelsea,"Metanet, Inc.",85 10th Ave,10011,New York,922000.0,0.27,100.4
New York,Arbinet 75 Broad St,Arbinet,75 Broad St.,10004,New York,1044000.0,0.251,90.9
New York,Frontline Data Services Orangeburg,Frontline Data Services,100 Dutch Hill Rd,10962,Orangeburg,1043000.0,0.254,98.3
New York,The Starrett-Lehigh Building,Windstream,601 W 26th Street,10001,New York,1082000.0,0.262,97.1
New York,365 Data Centers - Long Island,365 Data Centers,500 Commack Road,j11725,Commack,1255000.0,0.265,104.3
New York,Colocation America NYDC1,Colocation America,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,EXA DC New York,EXA Infrastructure,60 Hudson Street,10013,New York,1150000.0,0.287,105.6
New York,Colocation America NYDC2,Colocation America,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,Crown Castle New York - 60 Hudson St,CROWN CASTLE,60 Hudson St,10013,New York,1150000.0,0.287,105.6
New York,Lumen New York 1,Lumen,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,TeliaSonera NYKEC,Telia Company,111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,32 Avenue of the Americas,Rudin Management Company,32 Avenue of the Americas (6th Ave),10019,New York,964000.0,0.259,98.2
New York,AT&T New York,AT&T,811 10th Avenue,10019,New York,964000.0,0.259,98.2
New York,AT&T Secaucus,AT&T,15 Enterprise Ave N,07094,Secaucus,1276000.0,0.249,99.0
New York,NaviSite New York,"NaviSite, Inc.",395 Hudson St,10014,New York,1167000.0,0.265,75.6
New York,New York Connect Data Center,"New York Connect.Net, Ltd.",111 8th Avenue,10011,New York,922000.0,0.27,100.4
New York,LG Networks NYC Node,Lumen,150 Varick Street,10012,New York,870000.0,0.24,96.8
New York,TELEHOUSE Briad Financial Center,Telehouse America,33 Whitehall Street,10004,New York,1044000.0,0.251,90.9
New York,Tata Communications New York,Tata Communications,32 6th Ave,10013,New York,1150000.0,0.287,105.6
New York,Metanet New York,"Metanet, Inc.",111 8th Avenue,10011,New York,922000.0,0.27,100.4
Los Angeles,600 West 7th Street (LAX10),Digital Realty,600 West 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,2260 E El Segundo Blvd (LAX12),Digital Realty,2260 East El Segundo Boulevard,90245,El Segundo,907000.0,0.331,76.2
Los Angeles,Hivelocity - Los Angeles 2,Hivelocity,600 W. 7th St,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Hivelocity - Los Angeles 1,Hivelocity,624 S Grand Ave,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,4400 Pacific Blvd,Digital Realty,4400 Pacific Blvd,90058,Vernon,994000.0,0.317,95.4
Los Angeles,Serverfarm Los Angeles Data Center LAX1,Serverfarm,444 North Nash Street,90245,El Segundo,907000.0,0.331,76.2
Los Angeles,Centersquare - Los Angeles LAX5-A,Csquare,2681 Kelvin Ave,92614,Irvine,908000.0,0.329,84.4
Los Angeles,Prime Los Angeles,Prime Data Centers,4701 S Santa Fe Ave,90058,Vernon,994000.0,0.317,95.4
Los Angeles,Colocation America LADC3,Colocation America,600 W. 7th St,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,West 7 Center,Rising Realty Partners,1200 West 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,One Wilshire,GI Property Management,624 South Grand Avenue,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Equinix LA2,Equinix,818 W 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Cogent Data Center - Los Angeles,"Cogent Communications, Inc.",530 W 6th St,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Cogent Data Center - Pasadena,"Cogent Communications, Inc.",2947  Bradley Street,91107,Pasadena,963000.0,0.329,89.0
Los Angeles,DataBank LAX1 - Los Angeles One Wilshire,DataBank,624 South Grand Avenue,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Colocation America LADC4,Colocation America,530 W. 6th St,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Converge Technology Solutions Data Center,Converge Technology Solutions,30077 Agoura Ct,91301,Agoura Hills,974000.0,0.323,85.1
Los Angeles,Colocation America LADC5,Colocation America,650 S. Grand Ave,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Colocation America LADC2,Colocation America,707 Wilshire Blvd,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Alchemy Downtown Data Center,"Dynascale, Inc.",1200 West 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Crown Castle Los Angeles LA1,CROWN CASTLE,624 S Grand Ave,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Equinix LA7,Equinix,1501 Francisco Street,90501,Torrance,940000.0,0.317,96.3
Los Angeles,Equinix LA3,Equinix,1920 E Maple Ave,90245,El Segundo,907000.0,0.331,76.2
Los Angeles,Psychz Los Angeles,Psychz Networks,700 Wilshire Blvd,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Evocative LAX14,Evocative Data Centers,3690 Redondo Beach Avenue,90278,Redondo Beach,960000.0,0.306,75.3
Los Angeles,UnitedLayer Los Angeles,"UnitedLayer, Inc.",624 S Grand Ave,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,ColoCrossing LA1,ColoCrossing,1200 W 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,CoreSite One Wilshire (LA1),CoreSite,624 South Grand Avenue,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Crown Castle Los Angeles LA2,CROWN CASTLE,609 W 7th St,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Cogent Data Center - La Mirada,"Cogent Communications, Inc.",16680 Valley View Avenue,90638,La Mirada,1042000.0,0.317,87.3
Los Angeles,Equinix LA1,Equinix,600 West 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,CoreSite Los Angeles (LA2),CoreSite,900 North Alameda,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Xfernet Data Center,Xfernet,3250 Wilshire Blvd,90010,Koreatown,1098000.0,0.281,65.4
Los Angeles,One Data Center Ontario,One Data Center America,350 S Milliken Ave,91761,Ontario,1041000.0,0.32,83.7
Los Angeles,Evocative LAX2,Evocative Data Centers,600 W 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,DigiCo Los Angeles LAX1,DigiCo Infrastructure REIT,1977 Saturn St,91755,Monterey Park,1177000.0,0.325,86.1
Los Angeles,Subrigo - 650 South Grand,Subrigo,650 South Grand Avenue,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Cogent Data Center - Burbank,"Cogent Communications, Inc.",100 S Flower St,91502,Burbank,1154000.0,0.324,98.7
Los Angeles,Aon Center,Shorenstein,707 Wilshire Boulevard,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,TELEHOUSE Los Angeles Center,Telehouse America,626 Wilshire Boulevard,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,QuadraNet Los Angeles,QuadraNet.com,530 W. 6th St.,90014,Los Angeles,1009000.0,0.321,78.8
Los Angeles,Goodman LAX01,Goodman,3094 E Vernon Ave,90058,Vernon,994000.0,0.317,95.4
Los Angeles,Centersquare - Los Angeles LAX2,Csquare,3015 Winona Avenue,91504,Burbank,1133000.0,0.316,84.8
Los Angeles,Colocation America LADC1,Colocation America,624 South Grand Avenue,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,CoreSite Los Angeles (LA3),CoreSite,260 Bauchet St.,90012,Los Angeles,976000.0,0.313,76.2
Los Angeles,365 Data Centers - Los Angeles 1,365 Data Centers,600 W 7th St.,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Vernon Data Center,"Downtown Properties Holdings, LLC",5001 S. Soto Street,90058,Vernon,994000.0,0.317,95.4
Los Angeles,Fireline Broadband Data Center,Fireline Broadband,5900 Wilshire Blvd,90036,Los Angeles,1211000.0,0.325,82.3
Los Angeles,Edge Centres EC101 Los Angeles,Edge Centres,707 Wilshire Blvd.,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Alchemy LAX Data Center,"Dynascale, Inc.",6171 West Century Blvd,90045,Los Angeles,1097000.0,0.325,68.0
Los Angeles,Crown Castle Los Angeles LA3,CROWN CASTLE,530 W 6th St,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,DataBank - 707 Wilshire Blvd,DataBank,707 Wilshire Blvd,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Aptum Los Angeles,Aptum,360 E 2nd Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,One Data Center America,One Data Center America,3833 Ebony St,91761,Ontario,1041000.0,0.32,83.7
Los Angeles,365 Data Centers - Los Angeles 2,365 Data Centers,624 South Grand Ave,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Windstream Los Angeles,Windstream,530 West 6th St,90014,Los Angeles,1009000.0,0.321,78.8
Los Angeles,365 Data Centers - Los Angeles 3,365 Data Centers,900 N. Alameda St,90012,Los Angeles,976000.0,0.313,76.2
Los Angeles,Spectrum Networks El Segundo,Spectrum,2345 Alaska Ave,90245,El Segundo,907000.0,0.331,76.2
Los Angeles,818 West 7th Street,"Downtown Properties Holdings, LLC",818 West 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,DigiCo Los Angeles LAX2,DigiCo Infrastructure REIT,1980 Saturn St,91755,Monterey Park,1177000.0,0.325,86.1
Los Angeles,Lumen Los Angeles,Lumen,818 W. 7th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Quinby Building,Quinby Building,650 South Grand Avenue,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Telecom Center LA,BGC Group,530 West 6th Street,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Long Beach Data Center,Long Beach Data Center,3910 E 7th St,90804,Long Beach,1028000.0,0.331,92.3
Los Angeles,NocRoom Los Angeles Colocation,NocRoom Miami Colocation VPS,530 W 6th Street Penthouse,90014,Los Angeles,1009000.0,0.321,78.8
Los Angeles,Hostrunway Los Angeles,Hostrunway,900 N Alameda St #200,90012,Los Angeles,976000.0,0.313,76.2
Los Angeles,611 Wilshire,Xyvest Holdings,611 Wilshire Blvd,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,IHNetworks Datacenter (SFV1),"IHNetworks, LLC",20339 Nordhoff Street,91311,Chatsworth,1040000.0,0.316,85.2
Los Angeles,China Telecom One Wilshire,China Telecom Americas,624 S Grand Ave,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,WebNX Los Angeles,WebNX Internet Services,530 W 6th St,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Subrigo - 624 South Grand,Subrigo,624 South Grand Avenue,90017,Los Angeles,1161000.0,0.337,99.5
Los Angeles,Lumen Los Angeles 4,Lumen,600 Wilshire Blvd,90017,Los Angeles,1161000.0,0.337,99.5
Chicago,350 East Cermak Road (ORD10),Digital Realty,350 East Cermak Road,60616,Chicago,473000.0,0.155,72.8
Chicago,600 S. Federal St. (ORD11),Digital Realty,600 South Federal Street,60605,Chicago,409000.0,0.151,60.9
Chicago,505 N. Railroad Avenue (ORD23),Digital Realty,505 North Railroad Avenue,60164,Northlake,353000.0,0.154,86.5
Chicago,2200 Busse Road (CH1),Digital Realty,2200 Busse Road,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,9355 Grand Ave (ORD13),Digital Realty,9355 Grand Ave,60131,Franklin Park,432000.0,0.148,71.0
Chicago,9333 Grand Avenue (ORD12),Digital Realty,9333 Grand Avenue,60131,Franklin Park,432000.0,0.148,71.0
Chicago,1400 East Devon Avenue (CH3),Digital Realty,1400 East Devon Avenue,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,9377 Grand Ave (ORD14),Digital Realty,9377 Grand Ave,60131,Franklin Park,432000.0,0.148,71.0
Chicago,2425-2553 Edgington Street (ORD22),Digital Realty,2425-2553 Edgington St,60131,Franklin Park,432000.0,0.148,71.0
Chicago,2299 Busse Road (CH2),Digital Realty,2299 Busse Road,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,9401 West Grand Avenue (ORD15),Digital Realty,9401 W Grand Ave,60131,Franklin Park,432000.0,0.148,71.0
Chicago,Hivelocity - Chicago 1,Hivelocity,350 East Cermak Road,60616,Chicago,473000.0,0.155,72.8
Chicago,CyrusOne CHI5 - Lombard,CyrusOne Data Centers,1850 Springers Drive,60148,Lombard,434000.0,0.153,71.0
Chicago,GDC - Chicago CH1 Data Center,"NTT DATA, Inc.",255 Pierce Road,60143,Itasca,431000.0,0.154,66.8
Chicago,CyrusOne CHI2 - Aurora,CyrusOne Data Centers,2805 Diehl Rd,60502,Aurora,371000.0,0.14,72.6
Chicago,Summit Elk Grove Village,Summit (formerly Deft),2200 Busse Rd,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Centersquare - Chicago ORD4-A,Csquare,4513 Western Ave,60532,Lisle,402000.0,0.158,79.9
Chicago,T5 Data Centers - T5@Chicago,T5 Data Centers,200 Innovation Dr,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Serverfarm Chicago Data Center CH1,Serverfarm,840 S. Canal Street,60607,Chicago,402000.0,0.155,69.6
Chicago,Netrality - 717 S Wells,Netrality,717 S. Wells,60607,Chicago,402000.0,0.155,69.6
Chicago,Prime Chicago Data Center Campus,Prime Data Centers,1701 Midway Ct,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Prime Chicago - Building 1,Prime Data Centers,"1500 E Higgins Rd, Elk Grove Village, IL 60007, USA",60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Prime Chicago - Building 3,Prime Data Centers,1701 Midway Court,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Summit Chicago,Summit (formerly Deft),350 East Cermak Road,60616,Chicago,473000.0,0.155,72.8
Chicago,Colocation America CHIDC1,Colocation America,350 E. Cermak Rd,60616,Chicago,473000.0,0.155,72.8
Chicago,Iron Mountain Data Centers CHI-1,Iron Mountain Data Centers,1680 Touhy Avenue,60018,Des Plaines,444000.0,0.151,75.7
Chicago,CyrusOne CHI1 - Aurora,CyrusOne Data Centers,2905 Diehl Rd.,60148,Lombard,434000.0,0.153,71.0
Chicago,Legacy - Chicago Byte Exchange,Legacy Investing,400 S LaSalle St,60605,Chicago,409000.0,0.151,60.9
Chicago,Prime Chicago - Building 2,Prime Data Centers,1600 Oakton St,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Apotech Data Center,Apotech,1331 E Business Center Dr,60056,Mt Prospect,390000.0,0.144,68.0
Chicago,TierPoint Chicago - Polk,TierPoint,601 W. Polk St.,60607,Chicago,402000.0,0.155,69.6
Chicago,Element Critical Chicago One,Element Critical,711 N. Edgewood Ave.,60191,Wood Dale,396000.0,0.148,73.0
Chicago,Skybox Chicago I,Skybox Datacenters,800 E Devon Ave,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,DataBank ORD3 - Mount Prospect,DataBank,800 E Business Center Dr,60056,Mt. Prospect,390000.0,0.144,68.0
Chicago,DataBank ORD4 - Chicago Tri-State,DataBank,1808 Swift Dr,60523,Oak Brook,375000.0,0.158,61.5
Chicago,Cogent Data Center - Chicago 2,"Cogent Communications, Inc.",216 W. Jackson Blvd,60606,Chicago,337000.0,0.154,75.6
Chicago,Cogent Data Center - Chicago 1,"Cogent Communications, Inc.",427 LaSalle St,60606,Chicago,337000.0,0.154,75.6
Chicago,Element Critical Chicago Two,Element Critical,341 Haynes Dr,60191,Wood Dale,396000.0,0.148,73.0
Chicago,Colocation America CHIDC4,Colocation America,1808 Swift Dr.,60523,Oak Brook,375000.0,0.158,61.5
Chicago,TierPoint Chicago - West,TierPoint,9333 West Grand Ave.,60131,Franklin Park,432000.0,0.148,71.0
Chicago,Equinix CH4,Equinix,350 E Cermak Rd,60616,Chicago,473000.0,0.155,72.8
Chicago,Equinix CH7,Equinix,111 Plaza Drive,60559,Westmont,426000.0,0.166,67.3
Chicago,STACK Infrastructure CHI01B,STACK INFRASTRUCTURE,1301 Touhy Ave,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,US Signal Chicago IL01,"US Signal Company, LLC",810 Jorie Blvd,60523,Oak Brook,375000.0,0.158,61.5
Chicago,Metro Edge IMD1,Metro Edge,1951 W Hastings St,60608,Chicago,359000.0,0.156,77.2
Chicago,DataBank ORD2 - Chicago,DataBank,840 S Canal St,60607,Chicago,402000.0,0.155,69.6
Chicago,DataBank ORD1 - Downtown Chicago,DataBank,600 S Federal St,60605,Chicago,409000.0,0.151,60.9
Chicago,EdgeConneX Chicago - EDCCHI02,EdgeConneX,2021 Lunt Ave,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Stream DC Chicago I,Stream Data Centers,2080 Lunt Avenue,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,HydraVault Data Center,HydraVault,2538 S Wabash Ave,60616,Chicago,473000.0,0.155,72.8
Chicago,Centersquare - Chicago ORD1-A,Csquare,350 East Cermak,60616,Chicago,473000.0,0.155,72.8
Chicago,SBA Edge Chicago,SBA Edge,603 Discovery Drive,60185,West Chicago,387000.0,0.138,79.1
Chicago,Centersquare - Chicago ORD1-D,Csquare,350 E Cermak Rd,60616,Chicago,473000.0,0.155,72.8
Chicago,CoreSite Chicago (CH1),CoreSite,427 South LaSalle,60605,Chicago,409000.0,0.151,60.9
Chicago,Centersquare - Chicago ORD1-C,Csquare,350 E Cermak Rd,60616,Chicago,473000.0,0.155,72.8
Chicago,FirstComm Data Center,First Communications,601 W Polk St,60607,Chicago,402000.0,0.155,69.6
Chicago,ColoCrossing CH1,ColoCrossing,2200 Busse Road,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,H5 Data Centers Chicago,H5 Data Centers,1951 W. Hastings St.,60608,Chicago,359000.0,0.156,77.2
Chicago,Stream DC Chicago II,Stream Data Centers,1925 Busse Road,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,725 S. Wells,1547 Critical Systems Realty,725 S Wells,60607,Chicago,402000.0,0.155,69.6
Chicago,CDW Elk Grove Data Center,CDW Corporation,1441 Touhy Ave,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,STACK Infrastructure CHI01A,STACK INFRASTRUCTURE,1441 Touhy Ave,60007,Elk Grove Village,347000.0,0.152,64.9
Chicago,Digital Fortress Chicago,Digital Fortress,360 E 22nd St.,60148,Lombard,434000.0,0.153,71.0
Chicago,Equinix CH1,Equinix,350 E Cermak Rd,60616,Chicago,473000.0,0.155,72.8
Chicago,Equinix CH2,Equinix,350 E Cermak Rd,60616,Chicago,473000.0,0.155,72.8
Chicago,GDC - Chicago CH3 Data 'Center,"NTT DATA, Inc.",255 Pierce Rd,60143,Itasca,431000.0,0.154,66.8
Chicago,GDC - Chicago CH2 Data Center,"NTT DATA, Inc.",275 Pierce Rd,60143,Itasca,431000.0,0.154,66.8
Chicago,Cogent Data Center - Chicago 3,"Cogent Communications, Inc.",4200 W 40th St,60632,Chicago,364000.0,0.144,66.1
Chicago,QTS Chicago 1 DC1,QTS Data Centers,2800 S. Ashland Ave,60608,Chicago,359000.0,0.156,77.2
